d058.s043.t000	shelter.n.h.01
d110.s005.t007	cake.n.h.01 : ['baked goods made from or based on a mixture of flour, sugar,
d110.s005.t008	ice.n.h.03
d038.s142.t000	catch.v.h.01
d038.s142.t001	napping.a.h.01
d038.s142.t002	preparation.n.h.01
d038.s142.t003	Key: aught.n.h.01
d038.s142.t004	certain.a.h.01
d038.s142.t005	ahead.r.h.01
d038.s142.t006	lay.v.h.01
d038.s142.t007	kind.n.h.01
d038.s142.t008	disaster.n.h.01
d331.s072.t000	pose.v.h.01.
d331.s072.t001	overcome.v.h.01
d044.s003.t000	budget.n.h.01
d044.s003.t001	financial_year.n.h.01
d044.s003.t002	continued.a.h.01
d044.s003.t003	support.n.h.02
d044.s003.t004	force.n.h.05
d044.s003.t005	approximately.r.h.01
d044.s003.t006	present.a.h.01
d044.s003.t007	level.n.h.01
d044.s003.t008	year-end.n.h.01
d044.s003.t009	strength.n.h.02
d044.s003.t010	man.n.h.01
d044.s003.t011	woman.n.h.01
d044.s003.t012	active.a.h.02
d044.s003.t013	force.n.h.05
d179.s067.t000	first.a.h.01
d179.s067.t001	thing.n.h.05: ['an entity that is not named specifically']
d179.s067.t002	know.v.h.01: ['be cognizant or aware of a fact or a specific piece of information
d179.s067.t003	happen, occur, take place
d179.s067.t004	kitchenette.n.h.01
d179.s067.t005	cook_up.v.h.01
d179.s067.t006	breakfast.n.h.01
d179.s067.t007	hand.v.h.01
d179.s067.t008	person.n.h.01
d179.s067.t009	coffee\_cup.n.h.01
d179.s067.t010	lie.v.h.01.
d179.s067.t011	there.r.h.01
d179.s067.t012	handsome.a.h.01
d179.s067.t013	queen.n.h.02
d179.s067.t014	courtier.n.h.01
d049.s036.t000	activity.n.h.01
d049.s036.t001	british.a.h.01
d049.s036.t002	monger.n.h.01
d049.s036.t003	presence.n.h.01
d049.s036.t004	colonyn.h.05: ["a geographical area politically controlled by a distant country"]
d049.s036.t005	red.n.h.01
d049.s036.t006	prompt.v.h.01
d049.s036.t007	u.s..n.h.01
d049.s036.t008	war_department.n.h.02 : ['the military department of a government, especially the one responsible
d049.s036.t009	send.v.h.01
d049.s036.t010	person.n.h.01
d049.s036.t011	detroit.n.h.01
d049.s036.t012	put.v.h.01
d049.s036.t013	post.n.h.03
d049.s036.t014	mile.n.h.01: ['a large distance']
d049.s036.t015	nor'-west.r.h.01
d049.s036.t016	location.n.h.01
d049.s036.t017	then.n.h.01
d049.s036.t018	most.r.h.01
d049.s036.t019	advanced.a.h.01
d049.s036.t020	u.s..n.h.01
d049.s036.t021	post.n.h.03
d136.s000.t000	lately.r.h.01
d136.s000.t001	become.v.h.01
d136.s000.t002	practical.a.h.01
d136.s000.t003	use.v.h.01
d136.s000.t004	radio_emission.n.h.01
d136.s000.t005	moon.n.h.02
d136.s000.t006	planet.n.h.01
d136.s000.t007	new.a.h.01
d136.s000.t008	source.n.h.02
d136.s000.t009	information.n.h.01Explanation: In the given context, the word "information" refers
d136.s000.t010	celestial_body.n.h.01
d136.s000.t011	The corresponding homonym key for the target word "atmospheres" is atmosphere.n.h.05.
d132.s071.t000	but_then.r.h.01
d132.s071.t001	christian.a.h.01
d132.s071.t002	faith.n.h.01
d132.s071.t003	know.v.h.03 : [be aware of the truth of something; have a belief or faith in something
d132.s071.t004	death.n.h.01
d132.s071.t005	be.v.h.01
d132.s071.t006	natural.a.h.01
d132.s071.t007	termination.n.h.01
d132.s071.t008	temporal.a.h.01
d132.s071.t009	existence.n.h.01
d157.s073.t000	resolve.v.h.01
d157.s073.t001	wrong.n.h.01
d157.s073.t002	bereavement.n.h.01
d157.s073.t003	kansas.n.h.01
d157.s073.t004	occasion.v.h.01
d157.s073.t005	violence.n.h.01
d157.s073.t006	brutality.n.h.01
d157.s073.t007	be.v.h.01 : ['happen, occur, take place']
d157.s073.t008	propagation.n.h.01
d157.s073.t009	slavery.n.h.02: ['the practice of owning slaves']
d157.s073.t010	territory.n.h.01
d157.s073.t011	call_for.v.h.01
d157.s073.t012	charitable.a.h.01
d157.s073.t013	judgement.n.h.01
d157.s073.t014	recent.a.h.01
d157.s073.t015	effort.n.h.01
d157.s073.t016	virginia.n.h.01
d157.s073.t017	undermine.v.h.01
d157.s073.t018	despotism.n.h.01
d157.s073.t019	suffer.v.h.01
d157.s073.t020	commend.v.h.01
d157.s073.t021	family.n.h.02 : ['people descended from a common ancestor', 'a person having kinship
d157.s073.t022	special.a.h.01
d157.s073.t023	sympathy.n.h.01
d157.s073.t024	aid.n.h.02
d157.s073.t025	compassionate.v.h.01
d157.s073.t026	suffering.n.h.01
d157.s073.t027	reverence.v.h.01
d157.s073.t028	justice.n.h.01
d105.s090.t000	series.n.h.01
d105.s090.t001	8.a.h.01
d105.s090.t002	special.a.h.01
d105.s090.t003	test.n.h.01.
d105.s090.t004	conduct.v.h.01
d105.s090.t005	different.a.h.01
d105.s090.t006	rotor.n.h.01
d105.s090.t007	speed.n.h.01
d105.s090.t008	determine.v.h.01
d105.s090.t009	atomic_number_8.n.h.01
d105.s090.t010	transfer.n.h.01
d105.s090.t011	rate.n.h.01
d000.s010.t000	purchasing_agent.n.h.01
d000.s010.t001	offer.v.h.01
d000.s010.t002	overmuch.r.h.01
d000.s010.t003	free.a.h.01 : ['costing nothing']
d000.s010.t004	buying.n.h.01
d000.s010.t005	service.n.h.01.Explanation: The sentence asks about "free buying service for employees
d000.s010.t006	employee.n.h.01
d093.s036.t000	dot.n.h.03
d093.s036.t001	one.a.h.01
d093.s036.t002	end.n.h.01: ['the point in time at which something ends']
d093.s036.t003	each.a.h.01
d093.s036.t004	arrow.n.h.02
d093.s036.t005	indicate.v.h.01
d093.s036.t006	extent.n.h.01
d093.s036.t007	month.n.h.01
d093.s036.t008	child.n.h.01
d093.s036.t009	onset.n.h.01
d093.s036.t010	age.n.h.01
d093.s036.t011	corresponding.a.h.02 : ['relating to each other','serving as a counterpart or equivalent
d093.s036.t012	mean.a.h.02
d093.s036.t013	age.n.h.01
d093.s036.t014	growth.n.h.01
d093.s036.t015	center.n.h.08 : 'a place where some particular activity is concentrated'
d120.s097.t000	serious.a.h.01
d120.s097.t001	young_man.n.h.01
d120.s097.t002	play.v.h.01: ['participate in games or sport']
d120.s097.t003	golf.n.h.01
d120.s097.t004	serious.a.h.01
d120.s097.t005	intensity.n.h.02
d120.s097.t006	person.n.h.01
d120.s097.t007	have.v.h.01: ['have or possess', 'go through', 'have ownership or possession of',
d120.s097.t008	such.a.h.01
d120.s097.t009	inherent.a.h.01
d120.s097.t010	sense_of_humor.n.h.01
d120.s097.t011	relieve.v.h.01
d120.s097.t012	strain.n.h.01.
d120.s097.t013	keep.v.h.01: ['maintain', 'allow to remain in a place or position', '
d120.s097.t014	nerves.n.h.01
d120.s097.t015	jangle.v.h.01
d120.s097.t016	banjo.n.h.01
d120.s097.t017	string.n.h.01: ['a tightly stretched cord of wire or gut, which makes sound when plucked
d104.s038.t000	four_hundred.n.h.02 : ['a large number, 400']
d104.s038.t001	50.a.h.01
d104.s038.t002	pound.n.h.02.
d104.s038.t003	disseminate.v.h.01
d104.s038.t004	ship.n.h.01
d104.s038.t005	travel.v.h.01
d104.s038.t006	distance.n.h.01
d104.s038.t007	mile.n.h.02
d060.s097.t000	have.v.h.01 : ['have left', 'undergo','suffer from', 'get something
d060.s097.t001	income.n.h.01
d060.s097.t002	pay.n.h.01
d060.s097.t003	withholding.n.h.01
d060.s097.t004	require.v.h.01
d060.s097.t005	file.v.h.01
d057.s020.t000	want.v.h.01
d057.s020.t001	make.v.h.01
d057.s020.t002	sure.a.h.01
d057.s020.t003	junior.a.h.01
d057.s020.t004	colleague.n.h.01
d057.s020.t005	realise.v.h.05
d057.s020.t006	idea.n.h.01
d057.s020.t007	be.v.h.01
d057.s020.t008	welcome.a.h.01
d057.s020.t009	initiative.n.h.01
d057.s020.t010	go_down.v.h.01
d057.s020.t011	right.r.h.01 : ['toward or on the right; also used figuratively']
d057.s020.t012	bottom.n.h.01
d057.s020.t013	go.v.h.01: ['follow a certain course', 'run or extend between two points or beyond a
d057.s020.t014	all_the_way.r.h.02: ['completely', 'throughout the entire length or
d057.s020.t015	top.n.h.01
d331.s113.t000	sound.v.h.01.
d331.s113.t001	be.v.h.01 : ['happen, occur, take place']
d331.s113.t002	be.v.h.01 : ['happen, occur, take place']
d331.s113.t003	sit.v.h.01. ['be around, often idly or without specific purpose']
d226.s048.t000	The corresponding homonym key for the word "stayed" in the given sentence is: stay.v.h.
d121.s171.t000	person.n.h.01
d121.s171.t001	back.v.h.01: ['cause to travel backward', 'give support or one's approval
d121.s171.t002	team.n.h.01
d121.s171.t003	trace.n.h.02.
d121.s171.t004	wish.v.h.01 : ['express a desire or hope concerning the past or current situation'] (However,
d121.s171.t005	town.n.h.01
d121.s171.t006	at_all.r.h.01
d071.s000.t000	person.n.h.01
d071.s000.t001	several.a.h.01
d071.s000.t002	year.n.h.01
d071.s000.t003	now.r.h.01: ['at the present moment']
d071.s000.t004	commuter.n.h.01
d071.s000.t005	railroad.n.h.01
d071.s000.t006	serve.v.h.01
d071.s000.t007	large.a.h.01
d071.s000.t008	metropolitan.a.h.01
d071.s000.t009	area.n.h.01
d071.s000.t010	find.v.h.01
d071.s000.t011	increasingally.r.h.01
d071.s000.t012	difficult.a.h.01
d071.s000.t013	render.v.h.01
d071.s000.t014	kind.n.h.01
d071.s000.t015	service.n.h.01
d071.s000.t016	population.n.h.01
d071.s000.t017	want.v.h.01
d071.s000.t018	entitled.a.h.01
d071.s000.t019	have.v.h.01: ['have ownership or possession of', 'get something; come into possession of']
d096.s019.t000	begin.v.h.01: ['set in motion, cause to start', 'begin an event']
d096.s019.t001	autumn.n.h.01
d096.s019.t002	afternoon.n.h.01
d096.s019.t003	all.a.h.01
d096.s019.t004	century.n.h.01
d096.s019.t005	describe.v.h.01
d096.s019.t006	fineness.n.h.01
d096.s019.t007	autumn.n.h.01
d096.s019.t008	day.n.h.02
d055.s041.t000	information.n.h.01
d055.s041.t001	cell.n.h.01
d055.s041.t002	chain.n.h.05 : ['a linked or connected series of objects']
d055.s041.t003	contain.v.h.01
d055.s041.t004	address.n.h.01
d055.s041.t005	form.n.h.03 : ['the spatial arrangement of something as distinct from its substance', 'an arrangement of
d055.s041.t006	assign.v.h.01
d055.s041.t007	store.v.h.01
d011.s056.t000	The correct answer is bellow.n.h.02.
d011.s056.t001	person.n.h.01
d011.s056.t002	lunge.v.h.01
d002.s002.t000	man.n.h.01
d002.s002.t001	represent.v.h.03: ['be a delegate or spokesperson for','serve as a means of express
d002.s002.t002	attempt.n.h.01
d002.s002.t003	introduce.v.h.01
d002.s002.t004	bit.n.h.01.
d029.s022.t000	aristotle.n.h.01
d029.s022.t001	also.r.h.01
d029.s022.t002	be\_given.v.h.01
d029.s022.t003	stratify.v.h.02
d029.s022.t004	all.a.h.01
d029.s022.t005	aspect.n.h.01
d029.s022.t006	human.a.h.01
d029.s022.t007	nature.n.h.01
d029.s022.t008	activity.n.h.01
d029.s022.t009	level.n.h.01
d029.s022.t010	excellence.n.h.01
d029.s022.t011	plato.n.h.01
d029.s022.t012	put.v.h.01
d029.s022.t013	pure.a.h.01
d029.s022.t014	unimpassioned.a.h.01
d029.s022.t015	intellect.n.h.01
d029.s022.t016	top.a.h.01
d029.s022.t017	level.n.h.01
d130.s072.t000	man.n.h.01
d130.s072.t001	approach.v.h.01
d130.s072.t002	fully.r.h.01
d130.s072.t003	dressed.a.h.01
d074.s020.t000	There is no homonym "was" in the given sentence. The sentence uses the past tense of the verb "be"
d074.s020.t001	tap.n.h.01
d074.s020.t002	door.n.h.01
d074.s020.t003	person.n.h.01
d074.s020.t004	enter.v.h.01
d074.s020.t005	word.n.h.01Explanation: In the context of the sentence, "word" refers
d074.s020.t006	person.n.h.01.
d074.s020.t007	wish.v.h.01
d074.s020.t008	see.v.h.08: 'go to see for professional or business reasons', 'go to see for a
d074.s020.t009	captain.n.h.02
d027.s040.t000	last.a.h.01
d027.s040.t001	point.n.h.02: ['a brief version of the essential meaning of something', 'an isolated fact that
d027.s040.t002	be.v.h.01
d027.s040.t003	important.a.h.01
d027.s040.t004	high_school.n.h.01
d027.s040.t005	pupil.n.h.01
d027.s040.t006	be.v.h.01
d027.s040.t007	aware.a.h.01
d027.s040.t008	few.a.h.01
d027.s040.t009	graduate.n.h.01
d027.s040.t010	choose.v.h.01
d027.s040.t011	certain.a.h.01
d027.s040.t012	vocational_program.n.h.01
d027.s040.t013	obtain.v.h.01
d027.s040.t014	job.n.h.02
d027.s040.t015	consequence.n.h.01
d027.s040.t016	training.n.h.01
d027.s040.t017	whole.a.h.01
d027.s040.t018	idea.n.h.01
d027.s040.t019	relevance.n.h.01
d027.s040.t020	disappear.v.h.01Explanation: In the given context, the word "disappears
d082.s022.t000	first.a.h.01
d082.s022.t001	be.v.h.01: ['happen, occur, take place']
d082.s022.t002	america.n.h.01
d082.s022.t003	become.v.h.01
d082.s022.t004	become.v.h.01
d082.s022.t005	second-rate.a.h.01
d082.s022.t006	military.a.h.01
d082.s022.t007	power.n.h.01
band.n.03_example.1	band.n.h.01
d054.s021.t000	be.v.h.01: ['happen, occur, take place']
d054.s021.t001	non.r.h.01
d054.s021.t002	individual.n.h.01
d054.s021.t003	be.v.h.01: ['happen, occur, take place']
d054.s021.t004	dock.n.h.02.
d054.s021.t005	be.v.h.01: ['happen, occur, take place']
d054.s021.t006	observe.v.h.02: ['watch attentively', 'follow with the eyes or the mind']
d054.s021.t007	later.r.h.01
d054.s021.t008	scuttle.v.h.02 : ['to cause (a ship) to sink by damaging it or
d054.s021.t009	attempt.n.h.01
d054.s021.t010	prove.v.h.01
d054.s021.t011	person.n.h.01
d054.s021.t012	fiend.n.h.01
d184.s042.t000	in_the_end.r.h.01
d184.s042.t001	good.a.h.01
d184.s042.t002	man.n.h.01
d184.s042.t003	person.n.h.01
d184.s042.t004	express.v.h.01.
d184.s042.t005	audience.n.h.02
d184.s042.t006	already.r.h.01
d184.s042.t007	come.v.h.01
d184.s042.t008	feel.v.h.01
d184.s042.t009	say.v.h.01
d184.s042.t010	fire.n.h.01
d184.s042.t011	fire.n.h.01
d184.s042.t012	burn.v.h.01
d101.s016.t000	be.v.h.01
d101.s016.t001	tremendous.a.h.01
d101.s016.t002	book.n.h.01
d101.s016.t003	lively.a.h.01
d101.s016.t004	constantly.r.h.01
d101.s016.t005	moving.a.h.01
d101.s016.t006	location.n.h.01
d101.s016.t007	cast.n.h.02
d101.s016.t008	do_well.v.h.01
d172.s012.t000	then.r.h.01
d172.s012.t001	cover.v.h.01: ['provide with a covering or cause to be covered','spread over
d172.s012.t002	drop.n.h.01: ['a small indefinite quantity (especially of a liquid)', 'the
d172.s012.t003	damp.a.h.01
d172.s012.t004	chamber.n.h.01
d172.s012.t005	24.a.h.02 : ['twenty-four']
d172.s012.t006	30.a.h.02 : ['thirty minutes']
d172.s012.t007	40.a.h.02 : ['forty']
d172.s012.t008	minute.n.h.01
d073.s000.t000	inception.n.h.01
d073.s000.t001	passage.n.h.04.Explanation: The target word "passage" in the
d073.s000.t002	public_law.n.h.01
d073.s000.t003	group.n.h.02 : ['a group of people who make up a parliament or legislature']
d073.s000.t004	purpose.n.h.01
d073.s000.t005	vocational.a.h.01
d073.s000.t006	rehabilitation_program.n.h.02 : ['a program for helping someone to regain the ability to
d073.s000.t007	assist.v.h.01
d073.s000.t008	state.n.h.01: ['the territory occupied by a nation', 'a politically organized body of people
d073.s000.t009	means.n.h.01
d073.s000.t010	grant-in-aid.n.h.01
d073.s000.t011	return.v.h.01
d073.s000.t012	disabled.a.h.01
d073.s000.t013	man.n.h.01
d073.s000.t014	woman.n.h.01
d073.s000.t015	productive.a.h.01
d073.s000.t016	gainful.a.h.01
d073.s000.t017	employment.n.h.01
d074.s122.t000	tragic.a.h.01
d074.s122.t001	lad.n.h.01
d074.s122.t002	forge.v.h.01.
d074.s122.t003	ain.a.h.01
d074.s122.t004	shackle.n.h.01
d159.s005.t000	affect.v.h.01
d159.s005.t001	city.n.h.01
d159.s005.t002	financial.a.h.01
d159.s005.t003	situation.n.h.01
d159.s005.t004	interchange.n.h.02
d159.s005.t005	be.v.h.01
d159.s005.t006	ruinous.a.h.01
d159.s005.t007	remove.v.h.01.Explanation: The sentence "it removes forever from the tax
d159.s005.t008	forever.r.h.01
d159.s005.t009	revenue_enhancement.n.h.01
d159.s005.t010	roll.n.h.07: 'a document that can be rolled up (as for storage)', 'anything
d159.s005.t011	property.n.h.01
d159.s005.t012	tax.v.h.01
d159.s005.t013	pay.v.h.01
d159.s005.t014	city.n.h.01
d159.s005.t015	services.n.h.01
d155.s044.t000	warning.n.h.01
d155.s044.t001	be.v.h.01 : ['happen, occur, take place']
d155.s044.t002	unanimous.a.h.01
d155.s044.t003	vote.n.h.01
d155.s044.t004	enter.v.h.01
d155.s044.t005	candidate.n.h.01
d155.s044.t006	republican.n.h.01.
d155.s044.t007	attend.v.h.01
d001.s038.t000	person.n.h.01
d001.s038.t001	investigation.n.h.01
d001.s038.t002	center_on.v.h.01
d001.s038.t003	fraud.n.h.01
d001.s038.t004	say.v.h.01: ['declare', 'indicate','state']
d001.s038.t005	tomorrow.r.h.01
d001.s038.t006	bank.n.h.02
d001.s038.t007	person.n.h.01.
d001.s038.t008	check.n.h.01.
d001.s038.t009	person.n.h.01.
d001.s038.t010	clear.v.h.05 : ['be debited and credited to the proper bank accounts']
d107.s056.t000	threshold.n.h.01
d107.s056.t001	mass.n.h.02
d107.s056.t002	about.r.h.01: ['in the area or vicinity']
d107.s056.t003	correspond.v.h.01
d107.s056.t004	10.a.h.01
d107.s056.t005	m.n.h.01 (kg, gram)
d107.s056.t006	diameter.n.h.01
d107.s056.t007	sphere.n.h.05
d107.s056.t008	density.n.h.01
plane.n.05_example.0	plane.n.h.03
senseval2.d001.s019.t000	couple.n.h.01
senseval2.d001.s019.t001	know.v.h.01: ['be cognizant or aware of a fact or a specific piece of information
senseval2.d001.s019.t002	even.r.h.01: ['in spite of; notwithstanding']
senseval2.d001.s019.t003	before.r.h.01
senseval2.d001.s019.t004	become.v.h.01
senseval2.d001.s019.t005	pregnant.a.h.01
senseval2.d001.s019.t006	child.n.h.01
senseval2.d001.s019.t007	chance.n.h.01: ['a measure of how likely it is that some event will occur; a number
senseval2.d001.s019.t010	eye.n.h.01
senseval2.d001.s019.t011	cancer.n.h.02
senseval2.d001.s019.t012	occur.v.h.01
senseval2.d001.s019.t013	about.r.h.01: ['in the area or vicinity']
senseval2.d001.s019.t014	once.r.h.01
senseval2.d001.s019.t015	The corresponding homonym key for the word "births" in the given sentence is: birth.n.h.
d108.s154.t000	feel.v.h.01
d108.s154.t001	same.a.h.02: ['closely similar or comparable in kind or quality or quantity or degree']
d108.s154.t002	sometimes.r.h.01
d108.s154.t003	ma.n.h.04
d108.s154.t004	think_about.v.h.01
d108.s154.t005	at_all.r.h.01
d108.s154.t006	non.r.h.01
d136.s062.t000	half-intensity.n.h.01
d136.s062.t001	diameter.n.h.01
d136.s062.t002	main.a.h.01
d136.s062.t003	lobe.n.h.03
d136.s062.t004	antenna.n.h.01
d136.s062.t005	be.v.h.01: ['happen, occur, take place']
d136.s062.t006	about.r.h.01: ['(of quantities) imprecise but fairly close to correct']
d136.s062.t007	18.a.h.02 : [' eighteen']Explanation: In the given sentence,
d136.s062.t008	brightness.n.h.01
d136.s062.t009	temperature.n.h.01
d136.s062.t010	reduce.v.h.01: ['lessen and make more modest', 'narrow or limit']
d136.s062.t011	assume.v.h.01
d136.s062.t012	bell-shaped_curve.n.h.01
d136.s062.t013	antenna.n.h.01
d136.s062.t014	beam.n.h.03
d136.s062.t015	uniformly.r.h.01
d136.s062.t016	bright.a.h.01
d136.s062.t017	disc.n.h.01
d136.s062.t018	moon.n.h.02
d057.s011.t000	policy.n.h.01
d057.s011.t001	officer.n.h.03
d057.s011.t002	help.v.h.01
d057.s011.t003	be.v.h.01: ['form or compose', 'work in a specific place, with a specific
d057.s011.t004	planning.n.h.01
d057.s011.t005	officer.n.h.03
ice.n.01_example.0	ice.n.h.03
d091.s061.t000	have.v.h.01: ['have ownership or possession of','serve oneself to, or consume regularly
d091.s061.t001	dinner.n.h.01
d091.s061.t002	sit.v.h.01. 'be seated' or 'take a seat'
d091.s061.t003	there.r.h.01
d091.s061.t004	coffee.n.h.01
d091.s061.t005	watch.v.h.01
d091.s061.t006	winding.a.h.01
d091.s061.t007	pattern.n.h.01
d091.s061.t008	traffic.n.h.01
d091.s061.t009	cross.v.h.01 : ['travel across or pass over','meet and pass', 'trace
d091.s061.t010	bridge.n.h.01.
d091.s061.t011	spread_out.v.h.01
d091.s061.t012	serpent.n.h.01
d091.s061.t013	2.a.h.01
d091.s061.t014	key: head.n.h.01 : ['the part in the front or nearest the viewer', 'two
rock.n.02_example.0	rock.n.h.01
d117.s044.t000	horse.n.h.01
d117.s044.t001	shy.v.h.01
d117.s044.t002	dreadful.a.h.01
d117.s044.t003	thing.n.h.08: ['an entity that is not named specifically']
d117.s044.t004	flare.v.h.02
d096.s065.t000	fire.n.h.01
d096.s065.t001	just.r.h.01
d096.s065.t002	light.v.h.01
d096.s065.t003	see.v.h.01: ['perceive or become aware of, usually accidentally', 'observe, check
d096.s065.t004	thing.n.h.07: ['any attribute or quality considered as having its own existence', 'an entity that
d096.s065.t005	set_out.v.h.02
d096.s065.t006	drink.n.h.01
d096.s065.t007	stray.n.h.01
d096.s065.t008	response.n.h.01
d096.s065.t009	amenities.n.h.01
d096.s065.t010	happen, occur, take place.
d096.s065.t011	instantaneous.a.h.01
pyrrhic.a.02_example.0	pyrrhic.a.h.02Explanation: The word "Pyrrhic"
d178.s026.t000	right_away.r.h.01
